"unigram","n"
"allowed",4
"also",4
"amount",4
"awesome",4
"bday",4
"bed",4
"believe",4
"body",4
"bored",4
"bought",4
"bow",4
"bro",4
"broke",4
"brother",4
"bull",4
"cat",4
"clock",4
"corning",4
"couple",4
"creep",4
"cry",4
"cup",4
"cuz",4
"d",4
"deal",4
"death",4
"disappointed",4
"drink",4
"effort",4
"else",4
"ending",4
"enjoy",4
"f",4
"fan",4
"feeling",4
"felt",4
"finals",4
"fitness",4
"float",4
"form",4
"forward",4
"full",4
"generation",4
"glad",4
"hangover",4
"hey",4
"hip",4
"honestly",4
"hour",4
"id",4
"kill",4
"lady",4
"land",4
"leg",4
"legit",4
"liberty",4
"list",4
"lounge",4
"low",4
"loyal",4
"mean",4
"memorial",4
"men",4
"middle",4
"midtown_roc",4
"missing",4
"mmm",4
"molly",4
"moment",4
"mother's",4
"mountain",4
"neck",4
"needed",4
"nightclub",4
"none",4
"office",4
"pass",4
"period",4
"photo",4
"pick",4
"pictures",4
"power",4
"ray",4
"red",4
"republican",4
"rn",4
"rock",4
"sam's",4
"saying",4
"says",4
"schedule",4
"seeing",4
"side",4
"sister",4
"slumber",4
"snapchat",4
"somebody",4
"soon",4
"sorts",4
"spring",4
"stafford",4
"stay",4
"stupid",4
"sunday",4
"support",4
"surprise",4
"syracuseu",4
"talk",4
"top",4
"touch",4
"tournament",4
"turkey",4
"ugh",4
"wants",4
"wellsville",4
"worst",4
"y'all",4
"11",3
"14",3
"18",3
"2nd",3
"390",3
"6",3
"absolutely",3
"across",3
"alone",3
"amandaleigh007",3
"amazing",3
"anniversary",3
"anymore",3
"anytime",3
"anyway",3
"apt",3
"asf",3
"asked",3
"ate",3
"attire",3
"august",3
"bachelor",3
"backyard",3
"band",3
"beach",3
"beat",3
"become",3
"bellevue",3
"belly",3
"beyond",3
"blow",3
"bouta",3
"bowl",3
"budget",3
"bunch",3
"buy",3
"cafe",3
"california",3
"calling",3
"care",3
"cc",3
"celebrating",3
"chance",3
"change",3
"cheap",3
"cinco",3
"clean",3
"close",3
"cornell",3
"cousins",3
"crosby",3
"currently",3
"cute",3
"de",3
"dear",3
"debating",3
"dick",3
"different",3
"doe",3
"dogs",3
"dope",3
"drake",3
"dreams",3
"dudes",3
"dumb",3
"durant",3
"early",3
"ed",3
"em",3
"enough",3
"espn",3
"espresso",3
"event",3
"excellent",3
"eyebrows",3
"faded",3
"fam",3
"fast",3
"feels",3
"fell",3
"fill",3
"final",3
"finish",3
"fire",3
"flight",3
"flip",3
"floor",3
"forgot",3
"freshman",3
"fridge",3
"ft",3
"gang",3
"garden",3
"gates",3
"glass",3
"goes",3
"gon",3
"gordon",3
"grades",3
"greatest",3
"grinding",3
"gun",3
"gym",3
"half",3
"handle",3
"hang",3
"hat",3
"heart",3
"heat",3
"hill",3
"hold",3
"honey",3
"hop",3
"hopefully",3
"horse",3
"hurt",3
"i’m",3
"idk",3
"ill",3
"inside",3
"interview",3
"ithaca",3
"joke",3
"jon",3
"juice",3
"k",3
"king",3
"kiss",3
"knee",3
"knees",3
"lib",3
"library",3
"light",3
"lights",3
"lil",3
"line",3
"lit",3
"liverpool",3
"lose",3
"lost",3
"lundqvist",3
"mall",3
"manager",3
"manziel",3
"mayo",3
"members",3
"membership",3
"met",3
"mine",3
"momma",3
"monday",3
"mug",3
"needa",3
"nets",3
"news",3
"noise",3
"nyquil",3
"onto",3
"outside",3
"park",3
"party's",3
"paul",3
"pay",3
"pepsi",3
"planned",3
"planning",3
"plastic",3
"played",3
"post",3
"pregnant",3
"prep",3
"price",3
"pride",3
"putting",3
"race",3
"racquet",3
"read",3
"realize",3
"redd",3
"reese's",3
"retweet",3
"road",3
"round",3
"sad",3
"sat",3
"save",3
"score",3
"second",3
"send",3
"shirt",3
"shop",3
"shots",3
"showing",3
"sized",3
"sleeping",3
"soccer",3
"song",3
"sounds",3
"sports",3
"spray",3
"squirt",3
"st",3
"step",3
"stomach",3
"store",3
"stories",3
"style",3
"suck",3
"sunshine",3
"tap",3
"teeth",3
"test",3
"things",3
"thinkin",3
"thursday",3
"ticket",3
"tiger",3
"together",3
"town",3
"tryna",3
"tweet",3
"ugly",3
"ultra",3
"understand",3
"ur",3
"vision",3
"wake",3
"walking",3
"wantuck",3
"wegmans",3
"weird",3
"westbrook",3
"white",3
"winning",3
"wont",3
"worse",3
"would've",3
"y",3
"york",3
"yr",3
"0",2
"13",2
"16",2
"19th",2
"20th",2
"25",2
"308",2
"35",2
"3rd",2
"40",2
"54",2
"5th",2
"80",2
"8am",2
"9th",2
"a1",2
"abilene",2
"accurate",2
"acme",2
"act",2
"add",2
"admit",2
"adult",2
"ahead",2
"alcohol",2
"alive",2
"alright",2
"america",2
"americans",2
"anaamadden",2
"annual",2
"anyways",2
"app",2
"apples",2
"arcadia",2
"archives",2
"area",2
"asks",2
"asleep",2
"aspen",2
"attempts",2
"attitude",2
"aunts",2
"available",2
"avg",2
"avon",2
"awful",2
"awkward",2
"ayy",2
"babe",2
"backward",2
"badly",2
"bag",2
"barbie",2
"basically",2
"bbq",2
"beats",2
"beauty",2
"benefit",2
"bet",2
"bikes",2
"bills",2
"bird",2
"bit",2
"bleeding",2
"blind",2
"blocked",2
"board",2
"boi",2
"bomb",2
"books",2
"boom",2
"bother",2
"bounce",2
"bradsweet52",2
"braid",2
"breaks",2
"brianna",2
"bridget",2
"bringing",2
"brockport",2
"brody",2
"broken",2
"brought",2
"buddys",2
"business",2
"bust",2
"butt",2
"butter",2
"buzzed",2
"called",2
"canandaigua",2
"capture",2
"card",2
"celebrate",2
"center",2
"challenge",2
"champion",2
"chat",2
"cheese",2
"chili",2
"chinese",2
"choice",2
"choices",2
"chrome",2
"civilization",2
"classic",2
"cleaned",2
"cliff",2
"clutch",2
"coca",2
"cocktail",2
"cocky",2
"cola",2
"comedy",2
"commercials",2
"completely",2
"congratulations",2
"contains",2
"cooked",2
"cops",2
"cos",2
"cough",2
"could've",2
"count",2
"cousin",2
"cracked",2
"crap",2
"cray",2
"credit",2
"crew",2
"crotty",2
"crying",2
"cuddle",2
"cuisine",2
"culture",2
"cuse",2
"daily",2
"dark",2
"dat",2
"dead",2
"deadass",2
"debris",2
"decided",2
"delaware",2
"delete",2
"deleted",2
"depo",2
"derby",2
"details",2
"diceedagod",2
"didnt",2
"die",2
"diet",2
"dino",2
"dirty",2
"don",2
"donovanm_x3",2
"door",2
"doors",2
"drama",2
"dressed",2
"drinking",2
"drop",2
"dropped",2
"dropping",2
"drugs",2
"due",2
"dumped",2
"dunno",2
"duran",2
"dustin",2
"e",2
"earlier",2
"earth",2
"easily",2
"east",2
"easy",2
"eggs",2
"either",2
"ended",2
"equivalent",2
"eric",2
"evening",2
"everyday",2
"everytime",2
"evil",2
"excitement",2
"excuse",2
"extra",2
"fab",2
"facts",2
"fairport",2
"fall",2
"feelings",2
"fighting",2
"finger",2
"fires",2
"fish",2
"fixing",2
"florida",2
"flower",2
"foh",2
"forget",2
"formal",2
"found",2
"four",2
"frat",2
"freedom",2
"fucks",2
"g",2
"gas",2
"gave",2
"gettin",2
"gift",2
"ginger",2
"giving",2
"glow",2
"goal",2
"goals",2
"goin",2
"gold",2
"golden",2
"gone",2
"goofies",2
"government",2
"grace",2
"graduate",2
"grandma",2
"grant",2
"greed",2
"green",2
"grew",2
"group",2
"growing",2
"hall",2
"han",2
"happen",2
"happened",2
"happening",2
"harbor",2
"headband",2
"heads",2
"health",2
"healthier",2
"heard",2
"hearts",2
"heaven",2
"higher",2
"hills",2
"history",2
"hitta",2
"ho",2
"holes",2
"honor",2
"host",2
"hot",2
"hotel",2
"hrs",2
"humanity",2
"hype",2
"idek",2
"ignorant",2
"inbox",2
"incredible",2
"info",2
"instagram",2
"integrity",2
"invitations",2
"irish",2
"jake",2
"jersey",2
"jihayongg",2
"jimmy",2
"john",2
"johnny",2
"joined",2
"josh",2
"justin",2
"kane",2
"kemp",2
"kendrick",2
"kennel",2
"ketchup",2
"killed",2
"kiwanis",2
"klondike",2
"knock",2
"lacrosse",2
"lake",2
"lame",2
"lately",2
"launch",2
"lawd",2
"lead",2
"leads",2
"league",2
"learn",2
"learned",2
"leaving",2
"lebron",2
"legs",2
"less",2
"lessons",2
"lie",2
"lions",2
"listen",2
"listening",2
"living",2
"lmaao",2
"lml",2
"lodge",2
"longest",2
"looks",2
"lord",2
"lots",2
"loudly",2
"loved",2
"lt",2
"lyons",2
"m",2
"madison",2
"main",2
"major",2
"makeup",2
"manchester",2
"marina",2
"market",2
"mayweather",2
"meal",2
"mediterranean",2
"meet",2
"member",2
"memories",2
"mess",2
"metal",2
"michael",2
"mike",2
"milk",2
"million",2
"minimum",2
"missed",2
"monopoly",2
"mother",2
"move",2
"movies",2
"mt",2
"must",2
"named",2
"natasha",2
"national",2
"near",2
"neighbor",2
"neighbors",2
"netflix",2
"newest",2
"nightmare",2
"nights",2
"noodle",2
"normal",2
"normandy",2
"nose",2
"number",2
"nutrition",2
"nuts",2
"oak",2
"officially",2
"ohh",2
"okay",2
"okc",2
"ones",2
"ontario",2
"oo",2
"organizing",2
"otherwise",2
"ouch",2
"ounce",2
"outta",2
"owasco",2
"owe",2
"owners",2
"p",2
"packets",2
"page",2
"paid",2
"pain",2
"palace",2
"paper",2
"par",2
"paramore",2
"parents",2
"parking",2
"parties",2
"partynextdoor",2
"patch",2
"paying",2
"perform",2
"perfume",2
"perks",2
"permit",2
"personal",2
"photographed",2
"pic",2
"pics",2
"piece",2
"pink",2
"pissed",2
"pittsford",2
"pj",2
"plan",2
"plastered",2
"plates",2
"player",2
"playlist",2
"plays",2
"please",2
"plus",2
"points",2
"police",2
"political",2
"popped",2
"possible",2
"possibly",2
"ppl",2
"pray",2
"pre",2
"precious",2
"press",2
"problem",2
"proof",2
"protein",2
"public",2
"pulled",2
"pum",2
"puppy",2
"pussy",2
"q",2
"quad",2
"quality",2
"quarter",2
"question",2
"questions",2
"radio",2
"rage",2
"raised",2
"ranger",2
"rather",2
"realized",2
"realizing",2
"reason",2
"relationship",2
"relay",2
"repeat",2
"resee",2
"retirement",2
"retweets",2
"rftt",2
"rich",2
"ridge",2
"ridgemont",2
"riding",2
"ring",2
"river",2
"roommate",2
"rooms",2
"running",2
"runs",2
"safe",2
"saint",2
"salina",2
"san",2
"sauce",2
"scary",2
"scene",2
"scores",2
"scotch",2
"screw",2
"sean",2
"seasons",2
"sec",2
"sell",2
"semester",2
"sent",2
"series",2
"several",2
"shadow",2
"shake",2
"shaker",2
"shampoo",2
"sharkey's",2
"sheriff",2
"shitty",2
"shoes",2
"shoot",2
"shopping",2
"short",2
"shoulder",2
"shout",2
"shower",2
"shows",2
"sick",2
"sign",2
"sit",2
"sitting",2
"slapped",2
"smell",2
"smells",2
"smile",2
"smoke",2
"snap",2
"soda",2
"solid",2
"sometimes",2
"songs",2
"soul",2
"speak",2
"special",2
"speed",2
"spend",2
"spending",2
"squirting",2
"stale",2
"standing",2
"star",2
"station",2
"stephen",2
"stingy",2
"stolen",2
"straight",2
"strong",2
"success",2
"sugar",2
"sumo",2
"sun",2
"surprised",2
"sushi",2
"swag",2
"sweet",2
"swimming",2
"system",2
"taken",2
"talent",2
"talkin",2
"teachers",2
"tennis",2
"terrible",2
"text",2
"thaa",2
"theatre",2
"thereal_trizzy",2
"three",2
"threw",2
"thru",2
"thurs",2
"til",2
"tip",2
"tired",2
"tn",2
"toby",2
"today’s",2
"tonight's",2
"track",2
"trips",2
"truly",2
"turning",2
"tv",2
"tweets",2
"tweez",2
"twin",2
"type",2
"tyranny",2
"ucf",2
"unfollow",2
"united",2
"update",2
"upon",2
"used",2
"v",2
"v.a",2
"viewing",2
"visit",2
"wallet",2
"warm",2
"warming",2
"wars",2
"watched",2
"watchin",2
"waterloo",2
"weak",2
"wear",2
"webster",2
"weed",2
"welp",2
"whatever",2
"whats",2
"whoever",2
"wing",2
"winner",2
"woke",2
"woman",2
"wondering",2
"woo",2
"woot",2
"worked",2
"writing",2
"x",2
"xbox",2
"yacht",2
"yards",2
"yea",2
"yess",2
"ymca",2
"yrs",2
"yum",2
"zumba",2
"__",1
"_0v0xo",1
"01",1
"02pm",1
"07",1
"1,00",1
"10,00",1
"106",1
"107d",1
"107mph",1
"10am",1
"10lbs",1
"10th",1
"12.68",1
"140",1
"160",1
"16th",1
"17minn",1
"17th",1
"1969",1
"2.5",1
"2005",1
"2010",1
"2016",1
"21",1
"238",1
"250",1
"25mph",1
"26",1
"28th",1
"29",1
"2cw",1
"2day",1
"3.8",1
"30pm",1
"30second",1
"31st",1
"330am",1
"4.0",1
"4.5months",1
"430",1
"45",1
"46",1
"48",1
"49",1
"4th",1
"500",1
"55",1
"577",1
"5head",1
"60pins",1
"70",1
"70s",1
"70th",1
"78",1
"7pm",1
"84",1
"86",1
"9.49",1
"90",1
"903cpo",1
"90s",1
"930",1
"95",1
"aantinore",1
"aaron",1
"aaronfuller",1
"abandoned",1
"abc",1
"abducted",1
"aberration",1
"abortion",1
"absentmindedly",1
"absilbers",1
"abstain",1
"accept",1
"acceptable",1
"accepting",1
"accessory",1
"accident",1
"accompany",1
"accomplish",1
"accomplished",1
"accomplishment",1
"according",1
"account",1
"ache",1
"acknowledge",1
"added",1
"ade",1
"adgie",1
"adjust",1
"adopted",1
"adorable",1
"adorbs",1
"adulthood",1
"advantage",1
"advertised",1
"aerial",1
"affiliations",1
"afield",1
"age",1
"aged",1
"agenda",1
"aging",1
"agree",1
"aid",1
"aint",1
"air",1
"airport",1
"aj",1
"ajax",1
"ak",1
"al",1
"ala",1
"alan",1
"album",1
"alcoholic",1
"ale",1
"alex",1
"alina",1
"allegedly",1
"allen",1
"allens",1
"allergies",1
"alligator",1
"allover",1
"allowing",1
"ally",1
"almandas",1
"almonds",1
"along",1
"alongside",1
"alsiglcommunity",1
"alternate",1
"always58cloudy",1
"alwayys",1
"ambition",1
"amellywood",1
"amen",1
"amendments",1
"amy",1
"analogy",1
"andd",1
"andrebeamer",1
"andrew",1
"ang",1
"angel",1
"animal",1
"ankles",1
"anthonysiedleck",1
"anti",1
"any1",1
"anybody",1
"anybody's",1
"ap",1
"apartment",1
"appeal",1
"apple",1
"apply",1
"appointment",1
"appreciated",1
"appreciation",1
"appropriate",1
"approve",1
"apps",1
"aquafina",1
"aquarious",1
"archive",1
"aready",1
"aretha",1
"argus",1
"arizona",1
"armory",1
"arms",1
"arrested",1
"arsenal",1
"artis",1
"asab",1
"asap",1
"asb",1
"ashes",1
"ashley",1
"asians",1
"askinf",1
"asking",1
"associations",1
"assorted",1
"asthma",1
"athlete",1
"attachment",1
"attack",1
"attempted",1
"attendance",1
"attending",1
"attractive",1
"aubry",1
"auction",1
"audience",1
"aunt",1
"austin",1
"australian",1
"autobiography",1
"avenue",1
"awe",1
"awh",1
"awkwardly",1
"aww",1
"ayeimcharles",1
"ba",1
"babies",1
"babylon",1
"bachata",1
"bachelorette",1
"backed",1
"backk",1
"backs",1
"backspace",1
"bacon",1
"baddies",1
"bae",1
"bagging",1
"bail",1
"bajha",1
"bakxrmut",1
"baldwinsville",1
"balloon",1
"balls",1
"banks",1
"banned",1
"bannister",1
"banzai",1
"baptized",1
"barack",1
"barbell",1
"barber",1
"baroque",1
"baschsolutions",1
"base",1
"baseball",1
"basement",1
"basements",1
"basketball",1
"bassoon",1
"bat",1
"batavia",1
"bathing",1
"bathroom",1
"batman",1
"bauer",1
"baye",1
"bball",1
"bcrouth",1
"bea",1
"bear",1
"beasley",1
"beaters",1
"beauties",1
"beekeeping",1
"began",1
"beginning",1
"begins",1
"behavior",1
"beliefs",1
"ben",1
"benedict",1
"benjamin",1
"benz",1
"beside",1
"bestfriend",1
"besthairstyies",1
"betraying",1
"bettet",1
"betting",1
"beware",1
"beyonce",1
"bf",1
"bff",1
"biceps",1
"bicycle",1
"bieber",1
"bighomieflock3",1
"bigots",1
"bike",1
"biking",1
"bill",1
"billy",1
"bin",1
"bio",1
"birmingham",1
"birth",1
"birthed",1
"birthright",1
"bistro",1
"blame",1
"blaring",1
"blender",1
"blew",1
"blk",1
"bloc",1
"blocker",1
"blonde",1
"blood",1
"bloody",1
"bloom",1
"blows",1
"blueberry",1
"blurry",1
"blush",1
"bocce",1
"bodied",1
"bodies",1
"boii",1
"bon",1
"boo",1
"boring",1
"born",1
"bosh",1
"boss",1
"boston",1
"bothered",1
"bottom",1
"bouncer",1
"bouncers",1
"boutta",1
"bowling",1
"bowls",1
"bows",1
"box",1
"brake",1
"brandon's",1
"brands",1
"brassard",1
"brazil",1
"break",1
"breaking",1
"breasts",1
"breezybree01",1
"brew",1
"brhandi",1
"bri",1
"bria",1
"brick",1
"brickyard",1
"bridge",1
"brightness",1
"brodt",1
"brogod",1
"bron",1
"broo",1
"brookwoods",1
"bros",1
"brothers",1
"browns",1
"bruh",1
"bruhh",1
"bruin",1
"brunette",1
"brunettes",1
"bruschetta",1
"brushed",1
"brushing",1
"btw",1
"bub",1
"bucket",1
"buckland",1
"buffalo",1
"buffet",1
"bugger",1
"build",1
"bullandbearpub",1
"bullshit",1
"bummed",1
"bump",1
"bun",1
"bunga",1
"bunnyhunter_",1
"burger",1
"burial",1
"burn",1
"burped",1
"burrito",1
"burrt",1
"burton",1
"busch",1
"bushy",1
"busyness",1
"butts",1
"buyers",1
"buying",1
"byrncliff",1
"c",1
"c3",1
"cabana",1
"cabildo",1
"cabinet",1
"caitlyn",1
"cajun",1
"calf",1
"cali",1
"calls",1
"camp",1
"camping",1
"cancer",1
"candidacy",1
"candidates",1
"candles",1
"cannon",1
"capacity",1
"career",1
"careful",1
"careless",1
"carey's",1
"cari",1
"caroline",1
"carpet",1
"carry",1
"carting",1
"case",1
"cases",1
"caseysimonson",1
"casino",1
"cast",1
"catania",1
"catching",1
"catered",1
"catherine",1
"cats",1
"caught",1
"caused",1
"celebration",1
"certain",1
"certainly",1
"chain",1
"chair",1
"challenges",1
"chalotte",1
"champagne",1
"championship",1
"chances",1
"channel",1
"chant",1
"chara",1
"charge",1
"charity",1
"charm",1
"chart",1
"charter",1
"chase",1
"chased",1
"chatterbox",1
"cheating",1
"cheeks",1
"cheeze",1
"chefbantinore",1
"cherry",1
"chess",1
"chewy",1
"chex",1
"chiacchia",1
"chicago",1
"chicks",1
"child",1
"child's",1
"chillin",1
"chiloe's",1
"chipped",1
"chiropractic",1
"choose",1
"chrck",1
"chris",1
"chris's",1
"christian",1
"christine",1
"christmas",1
"chuckle",1
"cia",1
"cigarette",1
"cinematic",1
"citizen",1
"citizens",1
"civil",1
"cjmonti8",1
"claim",1
"clark",1
"classiest",1
"classmates",1
"classy",1
"cleaner",1
"cleaning",1
"clear",1
"clearly",1
"cleartrace",1
"cleon",1
"cleveland",1
"cliffordavekobe",1
"clinics",1
"clinton",1
"clippers",1
"clique",1
"clothes",1
"clown",1
"cns",1
"coach",1
"coders",1
"coffeeroasterny",1
"coh",1
"cohen",1
"colinkirby31",1
"collection",1
"collins",1
"combine",1
"combo",1
"combos",1
"commence",1
"commercial",1
"community",1
"company",1
"compare",1
"competition",1
"complete",1
"comprehend",1
"computer",1
"con",1
"concerned",1
"concert",1
"conclusion",1
"conditioner",1
"cone",1
"confidence",1
"confirmed:louis",1
"confused",1
"conmed",1
"connection",1
"connections",1
"connie",1
"connolly",1
"conquered",1
"consider",1
"conspiracies",1
"constellation",1
"contest",1
"contested",1
"control",1
"controller",1
"conversation",1
"convocation",1
"convos",1
"cookies",1
"cookouts",1
"cooling",1
"cop",1
"copy",1
"corcoran",1
"core",1
"corey",1
"cornelldining",1
"cornellians",1
"corporal",1
"corporate",1
"correct",1
"corrected",1
"costume",1
"cotton",1
"couch",1
"counterintuitive",1
"course",1
"courtesy",1
"courtneyfroner",1
"cover",1
"cow",1
"cows",1
"cpd",1
"crackers",1
"craft",1
"cramps",1
"crashing",1
"craziest",1
"crazyanddeep",1
"creamsicle",1
"created",1
"credited",1
"creeped",1
"crib",1
"cried",1
"crippling",1
"crossbows",1
"crosses",1
"crossfit",1
"crow",1
"crucify",1
"cruel",1
"cruise",1
"cryzenfall88",1
"ctfu",1
"ctfuu",1
"cube",1
"cucina",1
"culinary",1
"culminates",1
"cuomo",1
"curds",1
"cus",1
"cuss",1
"custard",1
"cut",1
"cutting",1
"cynical",1
"da",1
"dad's",1
"daddy",1
"dallas",1
"dam",1
"damage",1
"damian's",1
"dancing",1
"dande",1
"danhick",1
"darien",1
"daughter",1
"dave",1
"day1",1
"dayquil",1
"dchrist_bewithu",1
"deals",1
"dean",1
"deanna_dorothea",1
"debriefed",1
"debt",1
"debut",1
"decade",1
"decades",1
"decent",1
"decompose",1
"dedicated",1
"dedication",1
"deep",1
"dees",1
"def",1
"defeat",1
"defensive",1
"definitely",1
"defrosting",1
"delayed",1
"delicious",1
"delightful",1
"delivering",1
"demented",1
"democrat",1
"democratic",1
"denied",1
"dentist",1
"denver's",1
"department",1
"departure",1
"depriving",1
"deregulated",1
"desk",1
"dessert",1
"destroyed",1
"determines",1
"develop",1
"developed",1
"developing",1
"devil",1
"devote",1
"dewey",1
"dexter",1
"dexter_beatz",1
"diabetes",1
"diagne",1
"died",1
"dignity",1
"diliyorum",1
"dinosaurs",1
"dire",1
"directly",1
"directorial",1
"directors",1
"dis",1
"disappear",1
"disbelief",1
"discount",1
"discus",1
"discuss",1
"disgusting",1
"dish",1
"disinvite",1
"disney",1
"distracted",1
"district",1
"ditto",1
"divergent",1
"dj",1
"dk",1
"dkski22",1
"dm",1
"dmx",1
"doesnt",1
"dog",1
"doin",1
"dole",1
"dollars",1
"dollaz",1
"dolls",1
"dome",1
"dominirican01",1
"don’t",1
"donald",1
"donate",1
"dong",1
"doofy",1
"doomed",1
"dotson",1
"double",1
"doubt",1
"douche",1
"dough",1
"dove",1
"downloaded",1
"downn",1
"downstairs",1
"dozen",1
"dr",1
"drafted",1
"dragon",1
"dragonberry",1
"drank",1
"dressing",1
"drinkin",1
"driver",1
"drizzy",1
"drove",1
"dry",1
"dump",1
"durant’s",1
"durk",1
"dwil",1
"dying",1
"dylan",1
"e2",1
"eachother",1
"eagle",1
"ear",1
"easys",1
"eaten",1
"eatin",1
"ebizdizzle",1
"ecided",1
"eddie",1
"edge",1
"edible",1
